id,game_id,hastily,normally,completely,count,created_at,updated_at
875,1515,49800.0,1,1728556556,1728556556,,
876,1558,45000.0,2,1728556556,1754428995,,428400.0
877,1030,90480.0,2,1728556556,1729059825,,
878,1286,25410.0,2,1728556556,1752990094,36000.0,43200.0
879,2289,48180.0,1,1728556556,1728556556,,
880,2290,63780.0,1,1728556556,1728556556,,
881,1815,77280.0,3,1728556556,1750327412,72000.0,158040.0
882,7404,21600.0,1,1728556556,1728556556,14400.0,43200.0
883,27332,,1,1728556556,1728556556,11460.0,
884,18038,107100.0,1,1728556556,1728556556,,
885,11527,154800.0,1,1728556556,1728556556,,
886,27094,,4,1728556556,1760020469,,11025.0
887,11092,23720.0,3,1728556556,1728556556,,
888,19911,84600.0,1,1728556556,1728556556,,
889,20065,54000.0,2,1728556556,1742909987,36000.0,104400.0
890,19562,40665.0,9,1728556556,1754593927,26100.0,
891,17131,180001800.0,3,1728556556,1752685947,180000000.0,179998530.0
892,16477,25200.0,1,1728556556,1728556556,,
893,8635,29640.0,2,1728556557,1728556557,,
894,6066,21600.0,2,1728556557,1728556557,,25200.0
895,11156,173610.0,13,1728556557,1748352989,82800.0,301068.0
896,2004,147600.0,2,1728556557,1728556557,,218940.0
897,7349,152100.0,7,1728556557,1748615007,68400.0,360000.0
898,10232,38700.0,5,1728556557,1728556557,,64020.0
899,28058,,2,1728556557,1731141375,600.0,4200.0
900,11492,172140.0,3,1728556557,1728556557,,
901,3802,126000.0,2,1728556557,1728556557,,133200.0
902,296,40428.0,5,1728556557,1748983168,18420.0,18420.0
903,359,188652.0,6,1728556557,1751301814,66600.0,288000.0
